1927,65.8,72.5,70.2,74.5,78.5,82.3,82.1,82.9,80,77,73,67.4
1928,64,69.4,71,73.6,74.1,79.5,81.5,81.5,80.3,78.2,71.7,67.3
1929,70.3,71.7,72.9,75.7,78.2,79.3,80.1,81.8,81.1,75.2,76,68.6
1930,71.5,70.5,69,73.9,78.6,79.1,82.7,82.4,82.1,76.8,70.6,64.5
1931,63.9,65.5,65.2,71.3,77.1,80.5,82.8,83,81.2,78.2,73.4,75.4
1932,71.6,73.1,68.7,72.5,76.1,81.3,83.8,82.1,81.7,79.1,69.7,72.6
1933,70.1,72.6,70.9,75.6,79.8,80.4,81.5,82.5,82.3,77.9,70.7,70.8
1934,69.4,67.4,70.7,74,77.7,80.5,82.2,82.1,81,79.7,72.6,68.6
1935,66.8,66.7,72.7,75.3,80.2,80.4,81.6,83,80.7,78,72,62.1
1936,68.8,68.2,70.3,74.5,77.1,79.1,82.2,82.1,81.8,80.2,72.1,71.5
1937,75.5,69.4,69.3,72.7,75.5,79.8,80.5,81.2,79.4,75.8,70.3,65.4
1938,66.1,67.4,71.6,72.6,77,78.8,80.5,81.6,80.3,74.8,73,66
1939,66.3,72.3,70.8,74.8,77,79.7,81.4,80.9,80.5,78.4,69.9,65
1940,59.2,62.4,67.1,69.6,74.1,80.3,82,81.9,79.8,75,71.4,71.5
1941,65,63.1,65.7,72.9,74.4,80.4,81.5,83.5,81.3,80,73.3,71.5
1942,64.7,61.2,68.8,71.5,76.6,80.9,83.2,81.9,81.4,76.7,72.1,69.4
1943,68.6,63.5,70.4,71.9,78,79.9,81.1,82.1,81.2,75.2,70.7,66
1944,64.4,69.7,73.4,75.9,75.6,81.8,82.3,82.7,81.8,75.5,68.8,64.2
1945,65.1,68.7,72.9,77,75.9,81.2,81.5,82.2,81.2,77.9,70.4,67
1946,68.5,69.6,72.1,74.9,79.4,81,81.3,82.6,81.2,78.3,76,72.4
1947,73.1,62.4,67.4,77.9,78.3,80.6,81,82,81.5,78.2,75.9,70
1948,66.9,70.9,76.3,75.7,77.9,81.4,82,82.3,81.3,77.1,76.8,72.9
1949,70.2,73.4,70.8,75.8,77.5,80.3,82.3,82,81.6,79,68.7,71.8
1950,73.1,69.9,71.6,70.4,78.2,81.6,81.4,81.7,81,78.9,69,65.1
1951,65.2,65.1,70.5,73.5,77.7,81,81.8,83.6,83.2,78,71,72.5
1952,69.2,68,74.5,72.9,78.9,82.9,83.4,83.3,82.9,78.2,73.2,66.6
1953,67.6,71.2,74.7,75.7,80.5,81.3,82.5,83.5,81.9,76,72.4,69.5
1954,69,67.9,69.5,76.6,79.2,81.1,82.9,84.9,82.4,77.2,70.8,64.2
